family,map,config,instance,alg,expanded,cost,optimal,time_ms,status,mvc,exp_over_mvc
industrial-plants,plant01,diag,33,rastar,18949,83.640287,83.640300,48.126,ok,2345.0,8.080597014925374
industrial-plants,plant01,diag,33,mm,17447,83.640287,83.640300,119.035,ok,2345.0,7.440085287846482
industrial-plants,plant01,diag,33,bia,4723,83.640287,83.640300,12.357,ok,2345.0,2.0140724946695094
industrial-plants,plant01,diag,33,bae,17290,83.640287,83.640300,55.149,ok,2345.0,7.373134328358209
industrial-plants,plant01,diag,33,nbs,8788,83.640287,83.640300,21.753,ok,2345.0,3.747547974413646
industrial-plants,plant01,diag,33,gbfs,122,87.146748,83.640300,0.885,subopt,2345.0,0.05202558635394456
industrial-plants,plant01,diag,34,astar,2398,91.525454,91.525500,5.366,ok,2338.0,1.0256629597946962
industrial-plants,plant01,diag,34,rastar,50173,91.525454,91.525500,145.799,ok,2338.0,21.45979469632164
industrial-plants,plant01,diag,34,mm,41091,91.525454,91.525500,363.792,ok,2338.0,17.575278015397775
industrial-plants,plant01,diag,34,bia,4791,91.525454,91.525500,12.475,ok,2338.0,2.0491873396065015
industrial-plants,plant01,diag,34,bae,28043,91.525454,91.525500,100.573,ok,2338.0,11.994439692044482
industrial-plants,plant01,diag,34,nbs,11036,91.525454,91.525500,27.390,ok,2338.0,4.72027373823781
industrial-plants,plant01,diag,34,gbfs,460,118.213203,91.525500,1.592,subopt,2338.0,0.19674935842600513
industrial-plants,plant01,diag,35,astar,2399,51.284271,51.284300,5.128,ok,2374.0,1.010530749789385
industrial-plants,plant01,diag,35,rastar,3521,51.284271,51.284300,8.010,ok,2374.0,1.483150800336984
industrial-plants,plant01,diag,35,mm,5720,51.284271,51.284300,243.975,ok,2374.0,2.409435551811289
industrial-plants,plant01,diag,35,bia,4753,51.284271,51.284300,12.233,ok,2374.0,2.002106149957877
industrial-plants,plant01,diag,35,bae,5768,51.284271,51.284300,16.025,ok,2374.0,2.429654591406908
industrial-plants,plant01,diag,35,nbs,5052,51.284271,51.284300,11.549,ok,2374.0,2.1280539174389217
