family,map,config,instance,alg,expanded,mvc,exp_over_mvc
descent,level02,nodiag,81,nbs,2225956,3234284.0,0.6882376439422141
descent,level02,nodiag,82,nbs,2271762,2967378.0,0.7655789050131125
descent,level02,nodiag,83,nbs,1939670,2238549.0,0.8664853885262284
descent,level02,nodiag,84,nbs,3471068,3505468.0,0.9901867596566278
descent,level02,nodiag,86,nbs,2427626,3167964.0,0.7663047938676071
descent,level02,nodiag,100,nbs,2431328,3179844.0,0.7646060624357673
descent,level02,nodiag,104,nbs,2182756,2641249.0,0.8264105353187071
descent,level02,nodiag,105,nbs,2194474,3009014.0,0.729300029843663
descent,level02,nodiag,108,nbs,2144820,2507591.0,0.855330873336202
descent,level02,nodiag,117,nbs,2114498,2620084.0,0.8070344309571754
descent,level02,nodiag,122,nbs,1593768,1668857.0,0.9550057314677052
descent,level02,nodiag,124,nbs,1935892,2230817.0,0.8677950723882775
descent,level02,nodiag,131,nbs,2179320,2383789.0,0.9142252103688707
descent,level02,nodiag,135,nbs,1962520,2314972.0,0.84775107431105
descent,level02,nodiag,137,nbs,1911186,2233585.0,0.8556585041536364
descent,level02,nodiag,138,nbs,2167886,2568755.0,0.8439442453639993
descent,level02,nodiag,140,nbs,2172208,3444273.0,0.6306724234693359
descent,level02,nodiag,143,nbs,1380132,1980351.0,0.6969128200000909
descent,level02,nodiag,145,nbs,2182756,2614471.0,0.8348748178885901
descent,level02,nodiag,146,nbs,2181414,2719446.0,0.802153821035608
descent,level02,nodiag,150,nbs,1433830,2005840.0,0.7148277031069278
descent,level02,nodiag,153,nbs,1420358,1926411.0,0.7373078745916629
descent,level02,nodiag,154,nbs,2157574,3513935.0,0.6140050968501125
descent,level02,nodiag,156,nbs,2181414,2596112.0,0.8402618993325404
descent,level02,nodiag,162,nbs,2932860,3398015.0,0.8631097861545638
descent,level02,nodiag,168,nbs,1929424,2233585.0,0.8638238526852571
descent,level02,nodiag,170,nbs,2169774,2371926.0,0.9147730578441318
descent,level02,nodiag,172,nbs,2182756,2700020.0,0.8084221598358531
descent,level02,nodiag,174,nbs,2151990,2317254.0,0.9286811027189941
descent,level02,nodiag,176,nbs,2345508,3565359.0,0.6578602603552686
descent,level02,nodiag,178,nbs,2182756,2694754.0,0.8100019519406966
descent,level02,nodiag,180,nbs,1833556,2321068.0,0.78996220705296
descent,level02,nodiag,184,nbs,2181414,2619117.0,0.8328814634855946
descent,level02,nodiag,185,nbs,1832004,2857559.0,0.6411080226165059
descent,level02,nodiag,191,nbs,2206738,3068886.0,0.7190680918092103
descent,level02,nodiag,192,nbs,1960142,2381218.0,0.8231678073994065
descent,level02,nodiag,201,nbs,2101082,2370654.0,0.8862879188612087
descent,level02,nodiag,202,nbs,2182916,2612438.0,0.8355857631836622
descent,level02,nodiag,205,nbs,2193016,2979339.0,0.7360746796520973
descent,level02,diag,208,nbs,1981740,2048528.0,0.9673970773160044
descent,level02,nodiag,211,nbs,1970592,2316785.0,0.8505718053250517
descent,level02,nodiag,212,nbs,2179320,2359060.0,0.9238086356430103
descent,level02,nodiag,215,nbs,2181590,2756609.0,0.7914034961069923
descent,level02,nodiag,221,nbs,1950928,2217125.0,0.8799359530924057
descent,level02,nodiag,223,nbs,2179320,2370437.0,0.9193747819494886
descent,level02,diag,225,nbs,2196542,2203966.0,0.9966315269836286
descent,level02,nodiag,228,nbs,2183362,2541101.0,0.8592188976353163
descent,level02,nodiag,232,nbs,3707694,3753398.0,0.9878233003800823
descent,level02,nodiag,238,nbs,2181414,2745276.0,0.7946064439422484
descent,level02,nodiag,245,nbs,2222124,3540601.0,0.627612091845424
descent,level02,diag,258,nbs,1982978,2077577.0,0.954466669586735
descent,level02,nodiag,260,nbs,2193074,2975327.0,0.7370867134940126
descent,level02,nodiag,266,nbs,2191302,2748272.0,0.7973381091827884
descent,level02,nodiag,268,nbs,1945804,2265530.0,0.8588736410464659
descent,level02,nodiag,272,nbs,3710464,3738486.0,0.9925044523371226
descent,level02,nodiag,275,nbs,2179320,2313229.0,0.942111654315245
descent,level02,nodiag,284,nbs,2145828,2535035.0,0.8464687864270118
descent,level02,diag,285,nbs,1986652,2050818.0,0.9687119968714922
descent,level02,nodiag,288,nbs,2216960,2884013.0,0.7687066597827402
descent,level02,diag,290,nbs,2198396,2620750.0,0.8388423161308786
descent,level02,nodiag,292,nbs,2177388,2378024.0,0.9156291105556547
descent,level02,nodiag,293,nbs,2181414,2637024.0,0.827225690778696
