VoxelMap: loaded 'benchmarks/industrial-plants/plants/plant01.3dmap' [voxel] 195x128x100, 87620 listed voxels, diagonals=1
instance,alg,expanded,generated,cost,optimal,time_ms,optimal_ok
23,rastar,57477,1414317,121.308122,121.308000,34.113,1
23,mm,45221,1121382,121.308122,121.308000,124.329,1
23,bae,22629,542353,121.308122,121.308000,11.910,1
23,nbs,12846,308898,121.308122,121.308000,6.004,1
23,gbfs,920,0,148.869329,121.308000,0.624,0
24,astar,1600,34828,91.438600,91.438600,1.446,1
24,rastar,19740,465861,91.438600,91.438600,10.861,1
24,mm,13681,321602,91.438600,91.438600,344.473,1
24,bae,7149,163871,91.438600,91.438600,3.852,1
24,nbs,3100,70338,91.438600,91.438600,1.610,1
24,gbfs,142,0,104.576800,91.438600,0.137,0
25,astar,1600,36528,117.148690,117.149000,1.056,1
25,rastar,49097,1249756,117.148690,117.149000,29.718,1
25,mm,31810,807265,117.148690,117.149000,51.324,1
25,bae,42425,1077912,117.148690,117.149000,25.770,1
25,nbs,27678,697103,117.148690,117.149000,12.911,1
25,gbfs,158,0,118.805544,117.149000,0.165,0
26,astar,1600,40111,102.245795,102.246000,1.617,1
26,rastar,6692,169841,102.245795,102.246000,4.337,1
26,mm,3419,86027,102.245795,102.246000,48.074,1
26,bae,957,23807,102.245795,102.246000,1.207,1
26,nbs,7652,193826,102.245795,102.246000,3.802,1
26,gbfs,138,0,104.923829,102.246000,0.155,0
27,astar,1601,37553,72.120227,72.120200,0.928,1
27,rastar,27448,692235,72.120227,72.120200,16.411,1
27,mm,25564,648809,72.120227,72.120200,38.886,1
27,bae,14607,363885,72.120227,72.120200,7.501,1
27,nbs,5368,130652,72.120227,72.120200,2.560,1
27,gbfs,352,0,78.555620,72.120200,0.237,0
28,astar,1601,36954,89.970563,89.970600,1.091,1
28,rastar,27741,682332,89.970563,89.970600,16.361,1
28,mm,20390,502306,89.970563,89.970600,34.259,1
28,bae,11198,270299,89.970563,89.970600,5.765,1
28,nbs,4534,104205,89.970563,89.970600,2.205,1
28,gbfs,164,0,92.263091,89.970600,0.120,0
29,astar,1601,36887,183.773436,183.773000,1.314,1
29,rastar,253097,6432503,183.773436,183.773000,165.115,1
29,mm,150764,3832715,183.773436,183.773000,488.497,1
29,bae,89283,2266152,183.773436,183.773000,52.443,1
29,nbs,79938,2038613,183.773436,183.773000,42.181,1
29,gbfs,292,0,188.436413,183.773000,0.320,0
30,astar,2398,55935,49.262363,49.262400,4.733,1
30,rastar,3411,80200,49.262363,49.262400,1.805,1
30,mm,3658,85766,49.262363,49.262400,118.764,1
30,bae,3814,89636,49.262363,49.262400,3.903,1
30,nbs,3690,86517,49.262363,49.262400,2.816,1
30,gbfs,68,0,51.554891,49.262400,0.088,0
31,astar,2398,55509,56.747644,56.747600,1.407,1
31,rastar,4242,101219,56.747644,56.747600,2.434,1
31,mm,5118,121702,56.747644,56.747600,126.222,1
31,bae,3604,85205,56.747644,56.747600,1.938,1
31,nbs,4728,112632,56.747644,56.747600,2.206,1
31,gbfs,78,0,58.404498,56.747600,0.070,0
32,astar,2398,52993,89.919217,89.919200,1.393,1
32,rastar,26918,658123,89.919217,89.919200,14.499,1
32,mm,18134,443756,89.919217,89.919200,942.305,1
32,bae,12378,295215,89.970563,89.919200,6.560,0
32,nbs,5220,120226,89.919217,89.919200,2.550,1
32,gbfs,164,0,92.263091,89.919200,0.110,0
33,astar,2398,55962,83.640287,83.640300,1.730,1
33,rastar,18949,467589,83.640287,83.640300,10.632,1
33,mm,17447,429251,83.640287,83.640300,27.077,1
33,bae,15494,381333,83.640287,83.640300,8.243,1
33,nbs,8788,213263,83.640287,83.640300,4.482,1
33,gbfs,122,0,87.146748,83.640300,0.102,0
34,astar,2398,56666,91.525454,91.525500,1.471,1
34,rastar,50173,1261664,91.525454,91.525500,28.502,1
34,mm,41091,1041515,91.525454,91.525500,67.678,1
34,bae,26341,654367,91.621830,91.525500,14.620,0
34,nbs,11036,270634,91.525454,91.525500,5.566,1
34,gbfs,460,0,118.213203,91.525500,0.304,0
35,astar,2399,54899,51.284271,51.284300,1.794,1
35,rastar,3521,84803,51.284271,51.284300,1.789,1
35,mm,5720,135649,51.284271,51.284300,76.736,1
35,bae,5499,129285,51.284271,51.284300,2.946,1
35,nbs,5052,118986,51.284271,51.284300,2.481,1
35,gbfs,80,0,53.576800,51.284300,0.076,0
36,astar,2399,56381,84.854949,84.854900,1.288,1
36,rastar,27437,682969,84.854949,84.854900,15.735,1
36,mm,23406,583197,84.854949,84.854900,35.494,1
36,bae,21856,545495,84.854949,84.854900,12.736,1
36,nbs,10252,249793,84.854949,84.854900,4.864,1
36,gbfs,132,0,86.704555,84.854900,0.118,0
37,astar,2399,55412,112.833576,112.834000,1.640,1
37,rastar,79165,2015577,112.833576,112.834000,46.455,1
37,mm,55536,1413942,112.833576,112.834000,93.884,1
37,bae,62983,1607149,112.833576,112.834000,38.518,1
37,nbs,8428,206300,112.833576,112.834000,4.310,1
37,gbfs,168,0,116.649081,112.834000,0.163,0
38,astar,2399,51533,105.059166,105.059000,1.999,1
38,rastar,45537,1160454,105.059166,105.059000,26.400,1
38,mm,39932,1015434,105.059166,105.059000,75.403,1
38,bae,22671,558074,105.059166,105.059000,13.019,1
38,nbs,7732,185405,105.059166,105.059000,3.815,1
38,gbfs,196,0,115.940397,105.059000,0.171,0
39,astar,2399,57986,120.430291,120.430000,1.996,1
39,rastar,12730,322245,120.430291,120.430000,7.104,1
39,mm,13977,353862,120.430291,120.430000,34.899,1
